SK_ID_CURR,카드한도소진율,AMT_RECEIVABLE_PRINCIPAL,SK_DPD,소액연체_비율
100006,0.0,0.0,0,0.0
100011,0.30267839527027024,3877754.58,0,0.0
100013,0.1153010744047619,1656533.745,1,0.0
100021,0.0,0.0,0,0.0
100023,0.0,0.0,0,0.0
100028,0.03593359183673469,376337.25,0,0.0
100036,0.0,0.0,0,0.0
100042,0.37062425595238097,2678984.145,2,1.0
100043,0.4878891228070175,6720369.075,0,0.0
100047,0.0,0.0,0,0.0
100048,0.26582469677419357,1805438.565,0,0.0
100049,0.4347676025641026,610254.495,0,0.0
100050,0.0,0.0,0,0.0
100059,0.0,0.0,0,0.0
100066,0.0,0.0,0,0.0
100067,0.6040606551724138,2273224.05,3,0.0
100075,0.727053575,1160362.485,0,0.0
100077,0.0,0.0,0,0.0
100082,0.1251970909090909,1405952.055,859,0.9988358556461001
100083,0.0,0.0,0,0.0
100086,0.37455668571428574,3354357.87,19,0.0
100090,0.0,0.0,0,0.0
100100,0.4455817872340425,3591689.715,12,0.0
100101,0.39656884033613443,2512352.79,0,0.0
100107,0.6656715454545454,810294.21,26,1.0
100109,0.21928979430379747,2940476.49,3,0.0
100110,0.0,0.0,0,0.0
100112,0.0,0.0,0,0.0
100114,0.0,0.0,0,0.0
100115,0.34496666666666664,45000.0,0,0.0
100116,0.7938056763636364,9466623.405,28,1.0
100128,0.0,0.0,0,0.0
100131,0.3186800201210826,5510335.005,0,0.0
100135,0.0,0.0,0,0.0
100137,0.95895235,2482402.32,0,0.0
100138,0.0,0.0,0,0.0
100139,0.9647692498412698,13621976.64,19,0.0
100143,0.3964957368421053,6505825.635,3,1.0
100144,0.0,0.0,0,0.0
100145,0.02391747916666666,148365.585,0,0.0
100148,0.24778860784313725,1253441.835,28,1.0
100151,0.42154849358974356,2812501.98,0,0.0
100152,0.0,0.0,0,0.0
100153,0.7689136399217221,8453356.74,8,0.0
100157,0.0,0.0,0,0.0
100162,0.0,0.0,0,0.0
100165,0.0,0.0,0,0.0
100166,0.0,0.0,0,0.0
100169,0.04911626851851852,225000.0,18,1.0
100170,0.920813619047619,2060093.925,0,0.0
100171,0.3213833020833333,2636589.69,7,0.0
100173,0.4229282010869565,3351603.6,105,0.9047619047619048
100176,0.7313386,12045906.63,1,0.0
100180,0.0,0.0,0,0.0
100181,0.0,0.0,0,0.0
100187,0.0,0.0,0,0.0
100188,0.34975824666666666,2310154.29,0,0.0
100190,0.0,0.0,0,0.0
100193,0.02929940336134454,150220.665,0,0.0
100197,0.8538171603174602,6531285.96,0,0.0
100198,0.4826865189873418,1921968.135,1,0.0
100206,0.0,0.0,0,0.0
100211,0.7692290127314815,1211662.935,44,0.0
100217,0.2690538984375,2995954.11,0,0.0
100218,0.9453523365384615,8492652.9,0,0.0
100220,0.5215060704225352,6311936.97,1,0.0
100221,0.6483395454545454,636585.615,0,0.0
100224,0.17251870877192982,1049082.075,40488,1.0
100226,0.0,0.0,0,0.0
100228,0.11367249479166668,1884115.0350000001,3,0.0
100229,0.0,0.0,0,0.0
100231,0.0,0.0,0,0.0
100233,0.0,0.0,0,0.0
100235,0.831981537037037,818492.6699999999,0,0.0
100239,0.0,0.0,0,0.0
100245,0.10914985937499999,882695.295,0,0.0
100250,0.0,0.0,0,0.0
100254,0.0,0.0,0,0.0
100258,0.0,0.0,0,0.0
100259,0.09526623965141612,957718.5750000001,0,0.0
100260,0.058158003012048196,804296.115,47138,0.9999787856930714
100266,0.5308424711538462,7166759.76,36,0.0
100267,0.020413720297029703,349252.11,0,0.0
100273,0.7910693967391305,6221278.665,4,0.0
100274,0.0,0.0,0,0.0
100284,0.021405636666666665,281507.57999999996,8,0.0
100290,0.26086852173913044,2585084.625,0,0.0
100293,0.0,0.0,0,0.0
100296,0.9538765714285714,849231.225,0,0.0
100298,0.7974819533333334,10490552.235,0,0.0
100299,0.0,0.0,0,0.0
100302,0.8626270500000001,3034842.255,0,0.0
100303,0.6587597581699346,4389699.42,0,0.0
100307,0.32368348550724635,1896987.06,2,0.0
100309,0.0,0.0,0,0.0
100312,0.1014539,1662335.145,0,0.0
100316,0.31161994509803925,1701080.505,0,0.0
100317,0.9490848941860465,17118910.98,0,0.0
100321,0.40858922500000006,682002.9,0,0.0
100327,0.5278650269097223,9657581.31,1,0.0
100329,0.2585743984848485,4163963.985,3,0.0
100330,0.4677572,2619643.95,0,0.0
100336,0.7332509588888888,7998971.265,0,0.0
100338,0.4509598576388889,1882386.0,0,0.0
100339,0.8317570444444443,11312756.73,6,0.0
100340,0.5084664291666666,5228490.69,3,0.0
100343,0.0,0.0,0,0.0
100345,0.4380304944444445,1330001.145,0,0.0
